fecha,trigo,maiz,sorgo,girasol,soja,tipo_cambio_bna_vendedor,trigo_usd,maiz_usd,sorgo_usd,girasol_usd,soja_usd
2020-10-02,1510000,1308000,1520000,2370000,2310000,76.95,19623.13190383366,16998.050682261208,19753.086419753086,30799.220272904484,30019.493177387914
2020-10-05,1536200,1314000,1536200,2381000,2310000,77.01,19948.058693676143,17062.71912738605,19948.058693676143,30918.06258927412,29996.10440202571
2020-10-06,1537600,1345000,1535000,2383000,2355000,77.08,19948.105864037363,17449.40321743643,19914.37467566165,30915.93149974053,30552.672548002076
2020-10-07,1538200,1350000,1538000,2384000,2380000,77.11,19948.126053689535,17507.45687978213,19945.532356374013,30916.87200103748,30864.998054727013
2020-10-08,1546000,1385000,1538200,2384000,2392000,77.11,20049.280248994943,17961.353909998703,19948.126053689535,30916.87200103748,31020.61989365841
2020-10-09,1540000,1393000,1539000,2385500,2420000,77.15,19961.114711600778,18055.735580038883,19948.152948801035,30920.285158781593,31367.46597537265
2020-10-13,1560000,1395000,1545000,2394000,2410000,77.4,20155.03875968992,18023.25581395349,19961.24031007752,30930.232558139534,31136.95090439276
2020-10-14,1565000,1400000,1546000,2396000,2440000,77.48,20198.76097057305,18069.179143004647,19953.536396489417,30924.109447599378,31491.997934950952
2020-10-15,1585000,1430000,1546000,2396000,2460000,77.47,20459.532722344135,18458.75822899187,19956.112043371628,30928.1012004647,31754.227442881114
2020-10-16,1624000,1480000,1546000,2400000,2470000,77.52,20949.432404540763,19091.84726522188,19943.240454076367,30959.752321981425,31862.745098039217
2020-10-19,1630000,1513000,1547500,2400000,2501000,77.58,21010.56973446765,19502.449084815675,19947.15132766177,30935.808197989172,32237.690126321217
2020-10-20,1666000,1549600,1550000,2500000,2550000,77.68,21446.961894953653,19948.506694129763,19953.656024716784,32183.31616889804,32826.982492276
2020-10-21,1700000,1580000,1551000,2600000,2595000,77.75,21864.951768488747,20321.54340836013,19948.553054662378,33440.514469453374,33376.20578778135
2020-10-22,1713000,1610000,1635000,2725000,2640000,78.08,21939.036885245903,20619.87704918033,20940.061475409835,34900.102459016394,33811.475409836065
2020-10-23,1750000,1586000,1636500,2800000,2653500,78.13,22398.56649174453,20299.500831946756,20945.859464994242,35837.706386791244,33962.62639191092
2020-10-26,1750000,1547000,1639000,2810000,2662000,78.26,22361.359570661894,19767.441860465115,20943.010477894197,35905.95451060567,34014.82238691541
2020-10-27,1750000,1554000,1640000,2890000,2660000,78.3,22349.93614303959,19846.743295019158,20945.08301404853,36909.32311621967,33971.90293742018
